pmid,year,journal,title,abstract,authors
30193108,2018,Cell,Metabolic Frugality Marks Cancer Cells for Immune Targeting.,"Altered cell metabolism is ubiquitous in cancer cells; however, it remains challenging to exploit these alterations for cancer therapy. A new study reveals that metabolic alterations to the urea cycle promote tumor growth but unexpectedly also trigger mutations that mark cancer cells for recognition by immunotherapy.","Sullivan, Lucas B"
30146162,2018,Cell,Small Molecules Co-targeting CKIα and the Transcriptional Kinases CDK7/9 Control AML in Preclinical Models.,"CKIα ablation induces p53 activation, and CKIα degradation underlies the therapeutic effect of lenalidomide in a pre-leukemia syndrome. Here we describe the development of CKIα inhibitors, which co-target the transcriptional kinases CDK7 and CDK9, thereby augmenting CKIα-induced p53 activation and its anti-leukemic activity. Oncogene-driving super-enhancers (SEs) are highly sensitive to CDK7/9 inhibition. We identified multiple newly gained SEs in primary mouse acute myeloid leukemia (AML) cells and demonstrate that the inhibitors abolish many SEs and preferentially suppress the transcription elongation of SE-driven oncogenes. We show that blocking CKIα together with CDK7 and/or CDK9 synergistically stabilize p53, deprive leukemia cells of survival and proliferation-maintaining SE-driven oncogenes, and induce apoptosis. Leukemia progenitors are selectively eliminated by the inhibitors, explaining their therapeutic efficacy with preserved hematopoiesis and leukemia cure potential; they eradicate leukemia in MLL-AF9 and Tet2","Minzel, Waleed;Venkatachalam, Avanthika;Fink, Avner;Hung, Eric;Brachya, Guy;Burstain, Ido;Shaham, Maya;Rivlin, Amitai;Omer, Itay;Zinger, Adar;Elias, Shlomo;Winter, Eitan;Erdman, Paul E;Sullivan, Robert W;Fung, Leah;Mercurio, Frank;Li, Dansu;Vacca, Joseph;Kaushansky, Nathali;Shlush, Liran;Oren, Moshe;Levine, Ross;Pikarsky, Eli;Snir-Alkalay, Irit;Ben-Neriah, Yinon"
30100187,2018,Cell,"Nuclear Pores Promote Lethal Prostate Cancer by Increasing POM121-Driven E2F1, MYC, and AR Nuclear Import.","Nuclear pore complexes (NPCs) regulate nuclear-cytoplasmic transport, transcription, and genome integrity in eukaryotic cells. However, their functional roles in cancer remain poorly understood. We interrogated the evolutionary transcriptomic landscape of NPC components, nucleoporins (Nups), from primary to advanced metastatic human prostate cancer (PC). Focused loss-of-function genetic screen of top-upregulated Nups in aggressive PC models identified POM121 as a key contributor to PC aggressiveness. Mechanistically, POM121 promoted PC progression by enhancing importin-dependent nuclear transport of key oncogenic (E2F1, MYC) and PC-specific (AR-GATA2) transcription factors, uncovering a pharmacologically targetable axis that, when inhibited, decreased tumor growth, restored standard therapy efficacy, and improved survival in patient-derived pre-clinical models. Our studies molecularly establish a role of NPCs in PC progression and give a rationale for NPC-regulated nuclear import targeting as a therapeutic strategy for lethal PC. These findings may have implications for understanding how NPC deregulation contributes to the pathogenesis of other tumor types.","Rodriguez-Bravo, Veronica;Pippa, Raffaella;Song, Won-Min;Carceles-Cordon, Marc;Dominguez-Andres, Ana;Fujiwara, Naoto;Woo, Jungreem;Koh, Anna P;Ertel, Adam;Lokareddy, Ravi K;Cuesta-Dominguez, Alvaro;Kim, Rosa S;Rodriguez-Fernandez, Irene;Li, Peiyao;Gordon, Ronald;Hirschfield, Hadassa;Prats, Josep M;Reddy, E Premkumar;Fatatis, Alessandro;Petrylak, Daniel P;Gomella, Leonard;Kelly, W Kevin;Lowe, Scott W;Knudsen, Karen E;Galsky, Matthew D;Cingolani, Gino;Lujambio, Amaia;Hoshida, Yujin;Domingo-Domenech, Josep"
30100185,2018,Cell,Urea Cycle Dysregulation Generates Clinically Relevant Genomic and Biochemical Signatures.,"The urea cycle (UC) is the main pathway by which mammals dispose of waste nitrogen. We find that specific alterations in the expression of most UC enzymes occur in many tumors, leading to a general metabolic hallmark termed ""UC dysregulation"" (UCD). UCD elicits nitrogen diversion toward carbamoyl-phosphate synthetase2, aspartate transcarbamylase, and dihydrooratase (CAD) activation and enhances pyrimidine synthesis, resulting in detectable changes in nitrogen metabolites in both patient tumors and their bio-fluids. The accompanying excess of pyrimidine versus purine nucleotides results in a genomic signature consisting of transversion mutations at the DNA, RNA, and protein levels. This mutational bias is associated with increased numbers of hydrophobic tumor antigens and a better response to immune checkpoint inhibitors independent of mutational load. Taken together, our findings demonstrate that UCD is a common feature of tumors that profoundly affects carcinogenesis, mutagenesis, and immunotherapy response.","Lee, Joo Sang;Adler, Lital;Karathia, Hiren;Carmel, Narin;Rabinovich, Shiran;Auslander, Noam;Keshet, Rom;Stettner, Noa;Silberman, Alon;Agemy, Lilach;Helbling, Daniel;Eilam, Raya;Sun, Qin;Brandis, Alexander;Malitsky, Sergey;Itkin, Maxim;Weiss, Hila;Pinto, Sivan;Kalaora, Shelly;Levy, Ronen;Barnea, Eilon;Admon, Arie;Dimmock, David;Stern-Ginossar, Noam;Scherz, Avigdor;Nagamani, Sandesh C S;Unda, Miguel;Wilson, David M;Elhasid, Ronit;Carracedo, Arkaitz;Samuels, Yardena;Hannenhalli, Sridhar;Ruppin, Eytan;Erez, Ayelet"
30096312,2018,Cell,Divergent Routes toward Wnt and R-spondin Niche Independency during Human Gastric Carcinogenesis.,"Recent sequencing analyses have shed light on heterogeneous patterns of genomic aberrations in human gastric cancers (GCs). To explore how individual genetic events translate into cancer phenotypes, we established a biological library consisting of genetically engineered gastric organoids carrying various GC mutations and 37 patient-derived organoid lines, including rare genomically stable GCs. Phenotype analyses of GC organoids revealed divergent genetic and epigenetic routes to gain Wnt and R-spondin niche independency. An unbiased phenotype-based genetic screening identified a significant association between CDH1/TP53 compound mutations and the R-spondin independency that was functionally validated by CRISPR-based knockout. Xenografting of GC organoids further established the feasibility of Wnt-targeting therapy for Wnt-dependent GCs. Our results collectively demonstrate that multifaceted genetic abnormalities render human GCs independent of the stem cell niche and highlight the validity of the genotype-phenotype screening strategy in gaining deeper understanding of human cancers.","Nanki, Kosaku;Toshimitsu, Kohta;Takano, Ai;Fujii, Masayuki;Shimokawa, Mariko;Ohta, Yuki;Matano, Mami;Seino, Takashi;Nishikori, Shingo;Ishikawa, Keiko;Kawasaki, Kenta;Togasaki, Kazuhiro;Takahashi, Sirirat;Sukawa, Yasutaka;Ishida, Hiroki;Sugimoto, Shinya;Kawakubo, Hirofumi;Kim, Jihoon;Kitagawa, Yuko;Sekine, Shigeki;Koo, Bon-Kyoung;Kanai, Takanori;Sato, Toshiro"
30053422,2018,Cell,Changing the Guard at a Prostate Cancer SNP.,"The molecular underpinnings of a prostate-cancer-associated SNP are investigated in a pair of papers in this issue of Cell. Together, Gao et al. and Hua et al. paint a picture of competition between transcription factors that, in turn, toggle the function of a regulatory region from a promoter to an enhancer and induce a switch in noncoding RNA isoforms.","Bulger, Michael"
30033370,2018,Cell,Genomic Hallmarks and Structural Variation in Metastatic Prostate Cancer.,"While mutations affecting protein-coding regions have been examined across many cancers, structural variants at the genome-wide level are still poorly defined. Through integrative deep whole-genome and -transcriptome analysis of 101 castration-resistant prostate cancer metastases (109X tumor/38X normal coverage), we identified structural variants altering critical regulators of tumorigenesis and progression not detectable by exome approaches. Notably, we observed amplification of an intergenic enhancer region 624 kb upstream of the androgen receptor (AR) in 81% of patients, correlating with increased AR expression. Tandem duplication hotspots also occur near MYC, in lncRNAs associated with post-translational MYC regulation. Classes of structural variations were linked to distinct DNA repair deficiencies, suggesting their etiology, including associations of CDK12 mutation with tandem duplications, TP53 inactivation with inverted rearrangements and chromothripsis, and BRCA2 inactivation with deletions. Together, these observations provide a comprehensive view of how structural variations affect critical regulators in metastatic prostate cancer.","Quigley, David A;Dang, Ha X;Zhao, Shuang G;Lloyd, Paul;Aggarwal, Rahul;Alumkal, Joshi J;Foye, Adam;Kothari, Vishal;Perry, Marc D;Bailey, Adina M;Playdle, Denise;Barnard, Travis J;Zhang, Li;Zhang, Jin;Youngren, Jack F;Cieslik, Marcin P;Parolia, Abhijit;Beer, Tomasz M;Thomas, George;Chi, Kim N;Gleave, Martin;Lack, Nathan A;Zoubeidi, Amina;Reiter, Robert E;Rettig, Matthew B;Witte, Owen;Ryan, Charles J;Fong, Lawrence;Kim, Won;Friedlander, Terence;Chou, Jonathan;Li, Haolong;Das, Rajdeep;Li, Hui;Moussavi-Baygi, Ruhollah;Goodarzi, Hani;Gilbert, Luke A;Lara, Primo N;Evans, Christopher P;Goldstein, Theodore C;Stuart, Joshua M;Tomlins, Scott A;Spratt, Daniel E;Cheetham, R Keira;Cheng, Donavan T;Farh, Kyle;Gehring, Julian S;Hakenberg, Jörg;Liao, Arnold;Febbo, Philip G;Shon, John;Sickler, Brad;Batzoglou, Serafim;Knudsen, Karen E;He, Housheng H;Huang, Jiaoti;Wyatt, Alexander W;Dehm, Scott M;Ashworth, Alan;Chinnaiyan, Arul M;Maher, Christopher A;Small, Eric J;Feng, Felix Y"
30033362,2018,Cell,Risk SNP-Mediated Promoter-Enhancer Switching Drives Prostate Cancer through lncRNA PCAT19.,"The prostate cancer (PCa) risk-associated SNP rs11672691 is positively associated with aggressive disease at diagnosis. We showed that rs11672691 maps to the promoter of a short isoform of long noncoding RNA PCAT19 (PCAT19-short), which is in the third intron of the long isoform (PCAT19-long). The risk variant is associated with decreased and increased levels of PCAT19-short and PCAT19-long, respectively. Mechanistically, the risk SNP region is bifunctional with both promoter and enhancer activity. The risk variants of rs11672691 and its LD SNP rs887391 decrease binding of transcription factors NKX3.1 and YY1 to the promoter of PCAT19-short, resulting in weaker promoter but stronger enhancer activity that subsequently activates PCAT19-long. PCAT19-long interacts with HNRNPAB to activate a subset of cell-cycle genes associated with PCa progression, thereby promoting PCa tumor growth and metastasis. Taken together, these findings reveal a risk SNP-mediated promoter-enhancer switching mechanism underlying both initiation and progression of aggressive PCa.","Hua, Junjie Tony;Ahmed, Musaddeque;Guo, Haiyang;Zhang, Yuzhe;Chen, Sujun;Soares, Fraser;Lu, Jennifer;Zhou, Stanley;Wang, Miranda;Li, Hui;Larson, Nicholas B;McDonnell, Shannon K;Patel, Parasvi S;Liang, Yi;Yao, Cindy Q;van der Kwast, Theodorus;Lupien, Mathieu;Feng, Felix Y;Zoubeidi, Amina;Tsao, Ming-Sound;Thibodeau, Stephen N;Boutros, Paul C;He, Housheng Hansen"
30033361,2018,Cell,Biology and Clinical Implications of the 19q13 Aggressive Prostate Cancer Susceptibility Locus.,"Genome-wide association studies (GWAS) have identified rs11672691 at 19q13 associated with aggressive prostate cancer (PCa). Here, we independently confirmed the finding in a cohort of 2,738 PCa patients and discovered the biological mechanism underlying this association. We found an association of the aggressive PCa-associated allele G of rs11672691 with elevated transcript levels of two biologically plausible candidate genes, PCAT19 and CEACAM21, implicated in PCa cell growth and tumor progression. Mechanistically, rs11672691 resides in an enhancer element and alters the binding site of HOXA2, a novel oncogenic transcription factor with prognostic potential in PCa. Remarkably, CRISPR/Cas9-mediated single-nucleotide editing showed the direct effect of rs11672691 on PCAT19 and CEACAM21 expression and PCa cellular aggressive phenotype. Clinical data demonstrated synergistic effects of rs11672691 genotype and PCAT19/CEACAM21 gene expression on PCa prognosis. These results provide a plausible mechanism for rs11672691 associated with aggressive PCa and thus lay the ground work for translating this finding to the clinic.","Gao, Ping;Xia, Ji-Han;Sipeky, Csilla;Dong, Xiao-Ming;Zhang, Qin;Yang, Yuehong;Zhang, Peng;Cruz, Sara Pereira;Zhang, Kai;Zhu, Jing;Lee, Hang-Mao;Suleman, Sufyan;Giannareas, Nikolaos;Liu, Song;Tammela, Teuvo L J;Auvinen, Anssi;Wang, Xiaoyue;Huang, Qilai;Wang, Liguo;Manninen, Aki;Vaarala, Markku H;Wang, Liang;Schleutker, Johanna;Wei, Gong-Hong"
30017245,2018,Cell,Toward Minimal Residual Disease-Directed Therapy in Melanoma.,"Many patients with advanced cancers achieve dramatic responses to a panoply of therapeutics yet retain minimal residual disease (MRD), which ultimately results in relapse. To gain insights into the biology of MRD, we applied single-cell RNA sequencing to malignant cells isolated from BRAF mutant patient-derived xenograft melanoma cohorts exposed to concurrent RAF/MEK-inhibition. We identified distinct drug-tolerant transcriptional states, varying combinations of which co-occurred within MRDs from PDXs and biopsies of patients on treatment. One of these exhibited a neural crest stem cell (NCSC) transcriptional program largely driven by the nuclear receptor RXRG. An RXR antagonist mitigated accumulation of NCSCs in MRD and delayed the development of resistance. These data identify NCSCs as key drivers of resistance and illustrate the therapeutic potential of MRD-directed therapy. They also highlight how gene regulatory network architecture reprogramming may be therapeutically exploited to limit cellular heterogeneity, a key driver of disease progression and therapy resistance.","Rambow, Florian;Rogiers, Aljosja;Marin-Bejar, Oskar;Aibar, Sara;Femel, Julia;Dewaele, Michael;Karras, Panagiotis;Brown, Daniel;Chang, Young Hwan;Debiec-Rychter, Maria;Adriaens, Carmen;Radaelli, Enrico;Wolter, Pascal;Bechter, Oliver;Dummer, Reinhard;Levesque, Mitchell;Piris, Adriano;Frederick, Dennie T;Boland, Genevieve;Flaherty, Keith T;van den Oord, Joost;Voet, Thierry;Aerts, Stein;Lund, Amanda W;Marine, Jean-Christophe"
29961579,2018,Cell,Single-Cell Map of Diverse Immune Phenotypes in the Breast Tumor Microenvironment.,"Knowledge of immune cell phenotypes in the tumor microenvironment is essential for understanding mechanisms of cancer progression and immunotherapy response. We profiled 45,000 immune cells from eight breast carcinomas, as well as matched normal breast tissue, blood, and lymph nodes, using single-cell RNA-seq. We developed a preprocessing pipeline, SEQC, and a Bayesian clustering and normalization method, Biscuit, to address computational challenges inherent to single-cell data. Despite significant similarity between normal and tumor tissue-resident immune cells, we observed continuous phenotypic expansions specific to the tumor microenvironment. Analysis of paired single-cell RNA and T cell receptor (TCR) sequencing data from 27,000 additional T cells revealed the combinatorial impact of TCR utilization on phenotypic diversity. Our results support a model of continuous activation in T cells and do not comport with the macrophage polarization model in cancer. Our results have important implications for characterizing tumor-infiltrating immune cells.","Azizi, Elham;Carr, Ambrose J;Plitas, George;Cornish, Andrew E;Konopacki, Catherine;Prabhakaran, Sandhya;Nainys, Juozas;Wu, Kenmin;Kiseliovas, Vaidotas;Setty, Manu;Choi, Kristy;Fromme, Rachel M;Dao, Phuong;McKenney, Peter T;Wasti, Ruby C;Kadaveru, Krishna;Mazutis, Linas;Rudensky, Alexander Y;Pe'er, Dana"
29958104,2018,Cell,The Walrus and the Carpenter: Complex Regulation of Tumor Immunity in Colorectal Cancer.,"Immune infiltration has been correlated with survival of patients with colorectal cancer. In this issue, Ziegler et al. reveal complex and unexpected connections between loss of STAT3, mitophagy, and the induction of an adaptive immune response that limits the growth of colorectal carcinoma.","Dewson, Grant;Silke, John"
29909987,2018,Cell,A Somatically Acquired Enhancer of the Androgen Receptor Is a Noncoding Driver in Advanced Prostate Cancer.,"Increased androgen receptor (AR) activity drives therapeutic resistance in advanced prostate cancer. The most common resistance mechanism is amplification of this locus presumably targeting the AR gene. Here, we identify and characterize a somatically acquired AR enhancer located 650 kb centromeric to the AR. Systematic perturbation of this enhancer using genome editing decreased proliferation by suppressing AR levels. Insertion of an additional copy of this region sufficed to increase proliferation under low androgen conditions and to decrease sensitivity to enzalutamide. Epigenetic data generated in localized prostate tumors and benign specimens support the notion that this region is a developmental enhancer. Collectively, these observations underscore the importance of epigenomic profiling in primary specimens and the value of deploying genome editing to functionally characterize noncoding elements. More broadly, this work identifies a therapeutic vulnerability for targeting the AR and emphasizes the importance of regulatory elements as highly recurrent oncogenic drivers.","Takeda, David Y;Spisák, Sándor;Seo, Ji-Heui;Bell, Connor;O'Connor, Edward;Korthauer, Keegan;Ribli, Dezső;Csabai, István;Solymosi, Norbert;Szállási, Zoltán;Stillman, David R;Cejas, Paloma;Qiu, Xintao;Long, Henry W;Tisza, Viktória;Nuzzo, Pier Vitale;Rohanizadegan, Mersedeh;Pomerantz, Mark M;Hahn, William C;Freedman, Matthew L"
